id,center/lat,center/lon,tags/landuse,tags/name,locations
234267744,41.679515,21.818144,Vineyard,Vineyard Surface,"R1102, Babuna, Veles, Municipality of Veles, Vardar Region, 1400, North Macedonia"
234395635,41.9493061,21.4681737,Vineyard,Vineyard Surface,"Usje, Municipality of Kisela Voda, City of Skopje, Skopje Region, North Macedonia"
234395663,41.9513226,21.4663813,Vineyard,Vineyard Surface,"Usje, Municipality of Kisela Voda, City of Skopje, Skopje Region, 1054, North Macedonia"
237682132,41.8452645,22.4173932,Vineyard,Vineyard Surface,"Morodvis, Municipality of Zrnovci, Eastern Region, North Macedonia"
238202636,41.9087465,22.4680747,Vineyard,Vineyard Surface,"A3, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
238202646,41.9089881,22.4763332,Vineyard,Vineyard Surface,"R1304, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
238202654,41.9088343,22.4751611,Vineyard,Vineyard Surface,"R1304, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
238202669,41.9073471,22.4767596,Vineyard,Vineyard Surface,"R1304, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
238776529,40.9166238,20.7566111,Vineyard,Vineyard Surface,"R1301, Lubanishta, Municipality of Ohrid, Southwestern Region, North Macedonia"
238776643,40.9238375,20.7568304,Vineyard,Vineyard Surface,"Lubanishta, Municipality of Ohrid, Southwestern Region, North Macedonia"
238825749,40.9153592,20.7608391,Vineyard,Vineyard Surface,"R1301, Lubanishta, Municipality of Ohrid, Southwestern Region, North Macedonia"
297249079,41.0696879,20.806912,Vineyard,Vineyard Surface,"Sveti Stefan, Shipokno, Konjsko, Municipality of Ohrid, Southwestern Region, 6000, North Macedonia"
297249081,41.070064,20.8076469,Vineyard,Vineyard Surface,"Sveti Stefan, Shipokno, Konjsko, Municipality of Ohrid, Southwestern Region, 6000, North Macedonia"
331650898,41.3717587,21.9734988,Vineyard,Vineyard Surface,"Begnishte, Municipality of Kavadarci, Vardar Region, North Macedonia"
365739827,42.0300685,21.3827664,Vineyard,Vineyard Surface,"Street 6(F), Чешмички Рид, Bardovci, Municipality of Karposh, City of Skopje, Skopje Region, 9100, North Macedonia"
370311641,41.5208705,22.0287508,Vineyard,Vineyard Surface,"Kurija, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
